"hour","count","request_type","division","section"
1,4,"Tree Planting","Urban Forestry","Forestry Operations"
1,2,"Water Service Line-Locate / Adjust service box","Toronto Water","District Ops - Operations & Maintenance"
1,2,"Water Service Line-Turn Off","Toronto Water","District Ops - Operations & Maintenance"
1,2,"Water Service Line-Turn On","Toronto Water","District Ops - Operations & Maintenance"
1,2,"Water Valve-Leaking","Toronto Water","District Ops - Operations & Maintenance"
1,18,"Watermain-Possible Break","Toronto Water","District Ops - Operations & Maintenance"
1,10,"Zoning","Municipal Licensing & Standards","District Enforcement"
2,2,"ABCD's / Garbage Pile / Missed","Solid Waste Management Services","Collections"
2,2,"Block Pruning","Urban Forestry","Forestry Operations"
2,26,"Election Signs","Municipal Licensing & Standards","District Enforcement"
2,2,"General Pruning","Urban Forestry","Forestry Operations"
2,4,"Graffiti","Municipal Licensing & Standards","District Enforcement"
2,2,"Hydrant-Leaking","Toronto Water","District Ops - Operations & Maintenance"
2,2,"Left/Right Turn Signal Priority Features","Transportation Services","Traffic Ops - Traffic Engineering"
2,2,"Litter / Sidewalk & Blvd / Pick Up Request","Solid Waste Management Services","Collections"
2,2,"Locate-Emergency","Toronto Water","District Ops - Central Services"
2,2,"Maintenance Holes Lid Loose/Missing","Transportation Services","Road Operations "
2,4,"Missing/Damaged Signs","Transportation Services","TMC - Signs & Markings"
2,2,"New Pedestrian Crossover","Transportation Services","Traffic Ops - Traffic Engineering"
2,8,"Noise","Municipal Licensing & Standards","District Enforcement"
2,2,"Property Standards","Municipal Licensing & Standards","District Enforcement"
2,2,"Res / Nite Organic / Missed","Solid Waste Management Services","Collections"
2,2,"Residential / Yard Waste / Missed","Solid Waste Management Services","Collections"
2,2,"Residential: Bin: Repair or Replace Lid","Solid Waste Management Services","Collections"
2,6,"Residential: Garbage Bin: Exchange to Medium","Solid Waste Management Services","Collections"
2,2,"Residential: Recycle Bin: Exchange to Large","Solid Waste Management Services","Collections"
2,2,"Residential: Recycle Bin: Exchange to Medium","Solid Waste Management Services","Collections"
2,2,"Residential: Recycle Bin: Exchange to Small","Solid Waste Management Services","Collections"
2,2,"Road - Cleaning/Debris","Transportation Services","Road Operations "
2,2,"Sewer main-Backup","Toronto Water","District Ops - Operations & Maintenance"
2,2,"Sidewalk - Damaged / Concrete","Transportation Services","Road Operations "
2,2,"Traffic Infiltration","Transportation Services","Traffic Ops - Traffic Engineering"
2,2,"Water Service Line-Damaged Water Service Box","Toronto Water","District Ops - Operations & Maintenance"
2,2,"Water Service Line-Locate / Adjust service box","Toronto Water","District Ops - Operations & Maintenance"
2,4,"Water Service Line-Turn On","Toronto Water","District Ops - Operations & Maintenance"
2,4,"Watermain-Possible Break","Toronto Water","District Ops - Operations & Maintenance"
2,4,"Zoning","Municipal Licensing & Standards","District Enforcement"
3,2,"ABCD's / Nite Garbage Rear-Bin / Missed","Solid Waste Management Services","Collections"
3,6,"Adequate Heat","Municipal Licensing & Standards","District Enforcement"
3,2,"Complaint regarding Contractor","Transportation Services","Road Operations "
3,6,"Election Signs","Municipal Licensing & Standards","District Enforcement"
3,2,"General Pruning","Urban Forestry","Forestry Operations"
3,6,"Graffiti","Municipal Licensing & Standards","District Enforcement"
3,4,"Litter / Bin / Overflow or Missed","Solid Waste Management Services","Collections"
3,2,"Long Grass and Weeds","Municipal Licensing & Standards","District Enforcement"
3,8,"Noise","Municipal Licensing & Standards","District Enforcement"
3,2,"Operator / Operations Complaint","Solid Waste Management Services","Collections"
3,2,"Pollution Spill Response","Toronto Water","District Ops - Operations & Maintenance"
3,18,"Property Standards","Municipal Licensing & Standards","District Enforcement"
3,2,"Res / Above Comm / Organic Green Bin / Missed","Solid Waste Management Services","Collections"
3,2,"Res / Garbage / Missed","Solid Waste Management Services","Collections"
3,2,"Res / Organic Green Bin / Missed","Solid Waste Management Services","Collections"
3,4,"Res / Organic Green Bin / Whole Street / Missed","Solid Waste Management Services","Collections"
3,2,"Res / Recycle / Missed","Solid Waste Management Services","Collections"
3,2,"Residential / Yard Waste / Missed","Solid Waste Management Services","Collections"
3,2,"Residential Furniture / Missed","Solid Waste Management Services","Collections"
3,2,"Residential: Bin: Repair or Replace Body/Handle","Solid Waste Management Services","Collections"
3,2,"Road - Cleaning/Debris","Transportation Services","Road Operations "
3,4,"Road - Damaged","Transportation Services","Road Operations "
3,2,"Roadway Utility Cut - Settlement","Transportation Services","Road Operations "
3,2,"Street furniture damaged","Transportation Services","Road Operations "
3,4,"Traffic Signal Maintenance","Transportation Services","TMC - TPIM"
3,18,"Watermain-Possible Break","Toronto Water","District Ops - Operations & Maintenance"
4,2,"Adequate Heat","Municipal Licensing & Standards","District Enforcement"
4,2,"Commercial / Nite Recycle Cart / Missed","Solid Waste Management Services","Collections"
4,4,"Election Signs","Municipal Licensing & Standards","District Enforcement"
4,6,"General Pruning","Urban Forestry","Forestry Operations"
4,2,"Hydrant-Damage","Toronto Water","District Ops - Operations & Maintenance"
4,2,"Long Grass and Weeds","Municipal Licensing & Standards","District Enforcement"
4,8,"Noise","Municipal Licensing & Standards","District Enforcement"
4,4,"Operator / Operations Complaint","Solid Waste Management Services","Collections"
4,2,"Pit Cover/Paver Maintenance","Urban Forestry","Forestry Operations"
4,2,"Property Standards","Municipal Licensing & Standards","District Enforcement"
4,2,"Res / Organic Green Bin / Missed","Solid Waste Management Services","Collections"
4,4,"Res Above Comm / Nite Recycle / Missed","Solid Waste Management Services","Collections"
4,2,"Residential: Garbage Bin: Exchange to Medium","Solid Waste Management Services","Collections"
4,2,"Road - Damaged","Transportation Services","Road Operations "
4,2,"Road - Sinking","Transportation Services","Road Operations "
4,2,"Roadside Utility Cut - Settlement","Transportation Services","Road Operations "
4,2,"Sidewalk - Damaged / Concrete","Transportation Services","Road Operations "
4,4,"Storm Clean Up","Urban Forestry","Forestry Operations"
4,4,"Traffic Signal Maintenance","Transportation Services","TMC - TPIM"
4,2,"Tree Planting","Urban Forestry","Forestry Operations"
4,2,"Water Meter-Leaking","Toronto Water","District Ops - Central Services"
4,2,"Water Service Line-Damaged Water Service Box","Toronto Water","District Ops - Operations & Maintenance"
4,2,"Water Service Line-Turn Off","Toronto Water","District Ops - Operations & Maintenance"
4,2,"Water Service Line-Turn Off/Burst","Toronto Water","District Ops - Operations & Maintenance"
4,2,"Water Service Line-Turn On","Toronto Water","District Ops - Operations & Maintenance"
4,12,"Watermain-Possible Break","Toronto Water","District Ops - Operations & Maintenance"
4,8,"Zoning","Municipal Licensing & Standards","District Enforcement"
5,2,"Bin Investigation Request","Solid Waste Management Services","Collections"
5,2,"Bridge - Graffiti Complaint","Transportation Services","Road Operations "
5,2,"Comm / Nite Garbage Yellow Bag / Missed","Solid Waste Management Services","Collections"
5,2,"Comm / Nite Recycle Cardboard Missed","Solid Waste Management Services","Collections"
5,2,"Election Signs","Municipal Licensing & Standards","District Enforcement"
5,6,"General Pruning","Urban Forestry","Forestry Operations"
5,32,"Locate-Emergency","Toronto Water","District Ops - Central Services"
5,2,"Long Grass and Weeds","Municipal Licensing & Standards","District Enforcement"
5,4,"Missing/Damaged Signs","Transportation Services","TMC - Signs & Markings"
5,2,"Multi-Res / Garbage Cart / Missed","Solid Waste Management Services","Collections"
5,4,"Noise","Municipal Licensing & Standards","District Enforcement"
5,2,"Operator / Operations Complaint","Solid Waste Management Services","Collections"
5,2,"Permit Inspection","Urban Forestry","Tree Protection and Plan Review"
5,4,"Property Standards","Municipal Licensing & Standards","District Enforcement"
5,2,"Res / Above Comm / Organic Green Bin / Missed","Solid Waste Management Services","Collections"
5,2,"Res / Garbage / Missed","Solid Waste Management Services","Collections"
5,2,"Res / Nite Garbage / Missed","Solid Waste Management Services","Collections"
5,2,"Res / Organic Green Bin / Missed","Solid Waste Management Services","Collections"
5,2,"Res / Recycle / Missed","Solid Waste Management Services","Collections"
5,2,"Res / Yard Waste Whole Street / Missed","Solid Waste Management Services","Collections"
5,2,"Res Above Comm / Nite Recycle / Missed","Solid Waste Management Services","Collections"
5,2,"Residential Furniture / Missed","Solid Waste Management Services","Collections"
5,4,"Road - Cleaning/Debris","Transportation Services","Road Operations "
5,2,"Stemming","Urban Forestry","Forestry Operations"
5,6,"Traffic Signal Maintenance","Transportation Services","TMC - TPIM"
5,2,"Tree Planting","Urban Forestry","Forestry Operations"
5,2,"Water Service Line-Locate / Adjust service box","Toronto Water","District Ops - Operations & Maintenance"
5,16,"Water Service Line-Turn Off","Toronto Water","District Ops - Operations & Maintenance"
5,2,"Water Valve-Leaking","Toronto Water","District Ops - Operations & Maintenance"
5,8,"Watermain-Possible Break","Toronto Water","District Ops - Operations & Maintenance"
6,4,"ABCD's / Garbage Pile / Missed","Solid Waste Management Services","Collections"
6,4,"Adequate Heat","Municipal Licensing & Standards","District Enforcement"
6,2,"All / Hazardous Waste / Pick Up Request","Solid Waste Management Services","Collections"
6,2,"Bin Investigation Request","Solid Waste Management Services","Collections"
6,4,"Catch Basin - Blocked / Flooding","Transportation Services","Road Operations "
6,2,"Comm / Nite Organic Cart / Missed","Solid Waste Management Services","Collections"
6,2,"Complaint regarding Contractor","Transportation Services","Road Operations "
6,20,"Election Signs","Municipal Licensing & Standards","District Enforcement"
6,10,"General Pruning","Urban Forestry","Forestry Operations"
6,4,"Graffiti","Municipal Licensing & Standards","District Enforcement"
6,2,"Hydrant-After Usage Test","Toronto Water","District Ops - Operations & Maintenance"
6,6,"Litter / Street Furniture& Poster / Removal","Solid Waste Management Services","Collections"
6,4,"Long Grass and Weeds","Municipal Licensing & Standards","District Enforcement"
6,4,"Maintenance Holes Lid Loose/Missing","Transportation Services","Road Operations "
6,10,"Missing/Damaged Signs","Transportation Services","TMC - Signs & Markings"
6,2,"Multi-Res / Garbage Front-End / Missed","Solid Waste Management Services","Collections"
6,28,"Noise","Municipal Licensing & Standards","District Enforcement"
6,2,"Operator / Operations Complaint","Solid Waste Management Services","Collections"
6,2,"Pollution Spill Response","Toronto Water","District Ops - Operations & Maintenance"
6,30,"Property Standards","Municipal Licensing & Standards","District Enforcement"
6,2,"Res / Garbage / Missed","Solid Waste Management Services","Collections"
6,6,"Res / Organic Green Bin / Missed","Solid Waste Management Services","Collections"
6,2,"Res / Organic Green Bin / Whole Street / Missed","Solid Waste Management Services","Collections"
6,2,"Res / Organic&Garbage / Missed","Solid Waste Management Services","Collections"
6,2,"Res / Recycle / Missed","Solid Waste Management Services","Collections"
6,2,"Res / Yard Waste Whole Street / Missed","Solid Waste Management Services","Collections"
6,4,"Res Above Comm / Nite Garbage / Missed","Solid Waste Management Services","Collections"
6,2,"Residential / Nite Yard Waste / Missed","Solid Waste Management Services","Collections"
6,6,"Residential / Yard Waste / Missed","Solid Waste Management Services","Collections"
6,8,"Residential Furniture / Missed","Solid Waste Management Services","Collections"
6,2,"Residential: Bin: Missing","Solid Waste Management Services","Collections"
6,4,"Residential: Bin: Repair or Replace Body/Handle","Solid Waste Management Services","Collections"
6,2,"Residential: Bin: Repair or Replace Wheel","Solid Waste Management Services","Collections"
6,2,"Residential: Garbage Bin: Exchange to Large","Solid Waste Management Services","Collections"
6,4,"Residential: Garbage Bin: Exchange to Medium","Solid Waste Management Services","Collections"
6,2,"Residential: Garbage Bin: Exchange to Small","Solid Waste Management Services","Collections"
6,4,"Residential: Recycle Bin: Exchange to Large","Solid Waste Management Services","Collections"
6,2,"Restoration Related","Toronto Water","District Ops - Operations & Maintenance"
6,4,"Road - Cleaning/Debris","Transportation Services","Road Operations "
6,2,"Road - Damaged","Transportation Services","Road Operations "
6,2,"Road - Sinking","Transportation Services","Road Operations "
6,4,"Sewer Odour","Toronto Water","District Ops - Operations & Maintenance"
6,4,"Sidewalk - Damaged / Concrete","Transportation Services","Road Operations "
6,2,"Signal Timing Review/Vehicle Delays","Transportation Services","Traffic Ops - Traffic Engineering"
6,2,"Signs","Municipal Licensing & Standards","District Enforcement"
6,2,"Stemming","Urban Forestry","Forestry Operations"
6,4,"Storm Clean Up","Urban Forestry","Forestry Operations"
6,8,"Traffic Signal Maintenance","Transportation Services","TMC - TPIM"
6,2,"Water Service Line-Damaged Water Service Box","Toronto Water","District Ops - Operations & Maintenance"
6,8,"Water Service Line-Leaking","Toronto Water","District Ops - Operations & Maintenance"
6,2,"Water Service Line-No Water","Toronto Water","District Ops - Operations & Maintenance"
6,68,"Water Service Line-Turn Off","Toronto Water","District Ops - Operations & Maintenance"
6,2,"Water Service Line-Turn Off/Burst","Toronto Water","District Ops - Operations & Maintenance"
6,6,"Water Service Line-Turn On","Toronto Water","District Ops - Operations & Maintenance"
6,34,"Watermain-Possible Break","Toronto Water","District Ops - Operations & Maintenance"
6,2,"Zoning","Municipal Licensing & Standards","District Enforcement"
7,2,"ABCD's / Garbage Cart / Missed","Solid Waste Management Services","Collections"
7,2,"ABCD's / Garbage Front-End / Missed","Solid Waste Management Services","Collections"
7,4,"ABCD's / Garbage Pile / Missed","Solid Waste Management Services","Collections"
7,6,"ABCD's / Recycle Cart / Missed","Solid Waste Management Services","Collections"
7,6,"Adequate Heat","Municipal Licensing & Standards","District Enforcement"
7,12,"All / Hazardous Waste / Pick Up Request","Solid Waste Management Services","Collections"
7,6,"Bin Investigation Request","Solid Waste Management Services","Collections"
7,2,"Block Pruning","Urban Forestry","Forestry Operations"
7,6,"Boulevards - Damaged Asphalt","Transportation Services","Road Operations "
7,4,"Catch basin (Storm) - Damage","Toronto Water","District Ops - Operations & Maintenance"
7,6,"Catch basin (Storm) - Overflowing","Toronto Water","District Ops - Operations & Maintenance"
7,2,"Catch Basin - Blocked / Flooding","Transportation Services","Road Operations "
7,2,"Catch Basin - Debris / Litter","Transportation Services","Road Operations "
7,2,"Catch Basin Maintenance and Repair","Transportation Services","Road Operations "
7,8,"Comm / Nite Garbage Yellow Bag / Missed","Solid Waste Management Services","Collections"
7,2,"Comm / Nite Organic Cart / Missed","Solid Waste Management Services","Collections"
7,2,"Comm / Nite Recycle Blue Box / Missed","Solid Waste Management Services","Collections"
7,12,"Complaint regarding Contractor","Transportation Services","Road Operations "
7,2,"Culverts - Blocked","Transportation Services","Road Operations "
7,8,"Election Signs","Municipal Licensing & Standards","District Enforcement"
7,14,"General Pruning","Urban Forestry","Forestry Operations"
7,2,"General Tree Maintenance","Urban Forestry","Forestry Operations"
7,2,"Graffiti","Municipal Licensing & Standards","District Enforcement"
7,6,"Hydrant-Leaking","Toronto Water","District Ops - Operations & Maintenance"
7,2,"Investigate Regulatory Signs","Transportation Services","Traffic Ops - Traffic Engineering"
7,2,"Investigate Warning Signs","Transportation Services","Traffic Ops - Traffic Engineering"
7,6,"Left/Right Turn Signal Priority Features","Transportation Services","Traffic Ops - Traffic Engineering"
7,2,"Litter / Bin / Overflow or Missed","Solid Waste Management Services","Collections"
7,2,"Litter / Bin / Removal","Solid Waste Management Services","Collections"
7,6,"Locate-Emergency","Toronto Water","District Ops - Central Services"
7,2,"Maintenance Hole - Overflowing","Toronto Water","District Ops - Operations & Maintenance"
7,2,"Maintenance Holes -Damage / Repair","Transportation Services","Road Operations "
7,2,"Maintenance Holes Lid Loose/Missing","Transportation Services","Road Operations "
7,10,"Missing/Damaged Signs","Transportation Services","TMC - Signs & Markings"
7,2,"Multi-Res / Furniture Pile / Missed","Solid Waste Management Services","Collections"
7,4,"Multi-Res / Garbage Cart / Missed","Solid Waste Management Services","Collections"
7,4,"Multi-Res / Garbage Front-End / Missed","Solid Waste Management Services","Collections"
7,4,"Multi-Res / Nite Garbage Pile / Missed","Solid Waste Management Services","Collections"
7,4,"Multi-Res / Nite Recycle Cart / Missed","Solid Waste Management Services","Collections"
7,2,"Multi-Res / Recycle Front-End / Missed","Solid Waste Management Services","Collections"
7,2,"New Traffic Control Signal Request","Transportation Services","Traffic Ops - Traffic Engineering"
7,18,"Noise","Municipal Licensing & Standards","District Enforcement"
7,4,"Operational Comment or Complaint","Transportation Services","Road Operations "
7,20,"Operator / Operations Complaint","Solid Waste Management Services","Collections"
7,4,"Pit Cover/Paver Maintenance","Urban Forestry","Forestry Operations"
7,16,"Property Standards","Municipal Licensing & Standards","District Enforcement"
7,4,"Res / Above Comm / Organic Green Bin / Missed","Solid Waste Management Services","Collections"
7,16,"Res / Garbage / Missed","Solid Waste Management Services","Collections"
7,4,"Res / Garbage Front&Side / Missed","Solid Waste Management Services","Collections"
7,2,"Res / Nite Garbage / Missed","Solid Waste Management Services","Collections"
7,6,"Res / Nite Organic / Missed","Solid Waste Management Services","Collections"
7,6,"Res / Nite Recycle / Missed","Solid Waste Management Services","Collections"
7,2,"Res / Nite Yard Waste Whole Street / Missed","Solid Waste Management Services","Collections"
7,2,"Res / Org&Garbage Front&Side / Missed","Solid Waste Management Services","Collections"
7,4,"Res / Org&Garbage Whole Street / Missed","Solid Waste Management Services","Collections"
7,2,"Res / Organic Container / Missing Damaged","Solid Waste Management Services","Collections"
7,4,"Res / Organic Front&Side / Missed","Solid Waste Management Services","Collections"
7,20,"Res / Organic Green Bin / Missed","Solid Waste Management Services","Collections"
7,10,"Res / Organic Green Bin / Whole Street / Missed","Solid Waste Management Services","Collections"
7,4,"Res / Organic&Garbage / Missed","Solid Waste Management Services","Collections"
7,4,"Res / Organic&Recycle / Missed","Solid Waste Management Services","Collections"
7,16,"Res / Recycle / Missed","Solid Waste Management Services","Collections"
7,4,"Res / Recycle / Whole Street / Missed","Solid Waste Management Services","Collections"
7,8,"Res / Yard Waste Whole Street / Missed","Solid Waste Management Services","Collections"
7,4,"Res Above Comm / Nite Garbage / Missed","Solid Waste Management Services","Collections"
7,2,"Res Above Comm / Nite Recycle / Missed","Solid Waste Management Services","Collections"
7,2,"Residential / Nite Furniture / Missed","Solid Waste Management Services","Collections"
7,2,"Residential / Nite Yard Waste / Missed","Solid Waste Management Services","Collections"
7,18,"Residential / Yard Waste / Missed","Solid Waste Management Services","Collections"
7,40,"Residential Furniture / Missed","Solid Waste Management Services","Collections"
7,4,"Residential: Bin: Missing","Solid Waste Management Services","Collections"
7,4,"Residential: Bin: Repair or Replace Body/Handle","Solid Waste Management Services","Collections"
7,4,"Residential: Bin: Repair or Replace Wheel","Solid Waste Management Services","Collections"
7,2,"Residential: Bin: Wrong Delivery","Solid Waste Management Services","Collections"
7,4,"Residential: Garbage Bin: Exchange to Extra Large","Solid Waste Management Services","Collections"
7,4,"Residential: Garbage Bin: Exchange to Large","Solid Waste Management Services","Collections"
7,8,"Residential: Garbage Bin: Exchange to Medium","Solid Waste Management Services","Collections"
7,2,"Residential: Garbage Bin: New Account Extra Large","Solid Waste Management Services","Collections"
7,4,"Residential: Recycle Bin: Additional Extra Large","Solid Waste Management Services","Collections"
7,2,"Residential: Recycle Bin: Additional Large","Solid Waste Management Services","Collections"
7,4,"Residential: Recycle Bin: Exchange to Large","Solid Waste Management Services","Collections"
7,6,"Residential: Recycle Bin: Exchange to Medium","Solid Waste Management Services","Collections"
7,2,"Residential: Recycle Bin: Exchange to Small","Solid Waste Management Services","Collections"
7,4,"Residential: Recycle Bin: New Account Extra Large","Solid Waste Management Services","Collections"
7,10,"Restoration Related","Toronto Water","District Ops - Operations & Maintenance"
7,6,"Road - Cleaning/Debris","Transportation Services","Road Operations "
7,2,"Road - Damaged","Transportation Services","Road Operations "
7,4,"Road - Sinking","Transportation Services","Road Operations "
7,2,"Roadside Utility Cut - Settlement","Transportation Services","Road Operations "
7,2,"Sewer main-Backup","Toronto Water","District Ops - Operations & Maintenance"
7,4,"Sewer Odour","Toronto Water","District Ops - Operations & Maintenance"
7,2,"Sight Line Obstruction","Transportation Services","Traffic Ops - Traffic Engineering"
7,6,"Signal Timing Review/Vehicle Delays","Transportation Services","Traffic Ops - Traffic Engineering"
7,4,"Signs","Municipal Licensing & Standards","District Enforcement"
7,4,"Stemming","Urban Forestry","Forestry Operations"
7,16,"Storm Clean Up","Urban Forestry","Forestry Operations"
7,14,"Traffic Signal Maintenance","Transportation Services","TMC - TPIM"
7,2,"Water Meter-Leaking","Toronto Water","District Ops - Central Services"
7,2,"Water Quality-Discoloured (Rusty or Dirty) Water","Toronto Water","District Ops - Operations & Maintenance"
7,10,"Water Service Line-Leaking","Toronto Water","District Ops - Operations & Maintenance"
7,4,"Water Service Line-Locate / Adjust service box","Toronto Water","District Ops - Operations & Maintenance"
7,10,"Water Service Line-No Water","Toronto Water","District Ops - Operations & Maintenance"
7,154,"Water Service Line-Turn Off","Toronto Water","District Ops - Operations & Maintenance"
7,4,"Water Service Line-Turn Off/Burst","Toronto Water","District Ops - Operations & Maintenance"
7,24,"Water Service Line-Turn On","Toronto Water","District Ops - Operations & Maintenance"
7,2,"Water Valve-Leaking","Toronto Water","District Ops - Operations & Maintenance"
7,34,"Watermain-Possible Break","Toronto Water","District Ops - Operations & Maintenance"
7,2,"Zoning","Municipal Licensing & Standards","District Enforcement"
8,2,"ABCD's / Garbage Front-End / Missed","Solid Waste Management Services","Collections"
8,6,"ABCD's / Garbage Pile / Missed","Solid Waste Management Services","Collections"
8,14,"ABCD's / Recycle Cart / Missed","Solid Waste Management Services","Collections"
8,2,"ABCD's / Recycle Container / Missing Damaged","Solid Waste Management Services","Collections"
8,26,"Adequate Heat","Municipal Licensing & Standards","District Enforcement"
8,4,"All / Hazardous Waste / Missed","Solid Waste Management Services","Collections"
8,22,"All / Hazardous Waste / Pick Up Request","Solid Waste Management Services","Collections"
8,2,"Appliance (Emergency)","Municipal Licensing & Standards","District Enforcement"
8,28,"Bin Investigation Request","Solid Waste Management Services","Collections"
8,4,"Block Pruning","Urban Forestry","Forestry Operations"
